policy,eps,seed,fold,bearing,outcome,rul_at_alarm_s,lambda,esc_frac,bytes_per_snapshot,life_s
"Cloud point, fixed thr. H_c",,0,4,Bearing2_5,timely,5760.0,0.0,1.0,112.0,20280.0
"Cloud point, fixed thr. H_c",,0,4,Bearing3_5,late,,0.0,1.0,112.0,6780.0
Anomaly threshold,,0,4,Bearing1_5,late,,0.0,0.0,0.0,3060.0
Anomaly threshold,,0,4,Bearing2_5,late,,0.0,0.0,0.0,20280.0
Anomaly threshold,,0,4,Bearing3_5,late,,0.0,0.0,0.0,6780.0
"HERA-v3 (onset-gated, CRC)",0.1,1,0,Bearing1_1,premature,6840.0,4290.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.1,1,0,Bearing2_1,premature,29160.0,4290.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.1,1,0,Bearing3_1,premature,151980.0,4290.0,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.15,1,0,Bearing1_1,premature,6840.0,4290.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.15,1,0,Bearing2_1,premature,29160.0,4290.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.15,1,0,Bearing3_1,premature,151980.0,4290.0,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.2,1,0,Bearing1_1,timely,2580.0,3885.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.2,1,0,Bearing2_1,premature,29160.0,3885.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.2,1,0,Bearing3_1,premature,151980.0,3885.0,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.25,1,0,Bearing1_1,timely,2460.0,3525.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.25,1,0,Bearing2_1,timely,2040.0,3525.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.25,1,0,Bearing3_1,premature,151980.0,3525.0,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.3,1,0,Bearing1_1,timely,2460.0,3525.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.3,1,0,Bearing2_1,timely,2040.0,3525.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.3,1,0,Bearing3_1,premature,151980.0,3525.0,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.4,1,0,Bearing1_1,late,,1050.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.4,1,0,Bearing2_1,late,,1050.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.4,1,0,Bearing3_1,late,240.0,1050.0,0.9992119779353822,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,0,Bearing1_1,premature,6480.0,4582.5,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,0,Bearing2_1,premature,28560.0,4582.5,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,1,0,Bearing3_1,premature,151380.0,4582.5,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,0,Bearing1_1,premature,6480.0,4582.5,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,0,Bearing2_1,premature,28560.0,4582.5,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,1,0,Bearing3_1,premature,151380.0,4582.5,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,0,Bearing1_1,premature,6480.0,4290.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,0,Bearing2_1,premature,27960.0,4290.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,1,0,Bearing3_1,premature,151380.0,4290.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,0,Bearing1_1,timely,2520.0,3750.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,0,Bearing2_1,timely,2040.0,3750.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,1,0,Bearing3_1,premature,144960.0,3750.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,0,Bearing1_1,timely,2520.0,3750.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,0,Bearing2_1,timely,2040.0,3750.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,1,0,Bearing3_1,premature,144960.0,3750.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,0,Bearing1_1,late,,1050.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,0,Bearing2_1,late,,1050.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,1,0,Bearing3_1,late,240.0,1050.0,0.9952718676122931,124.0,152220.0
"Always-cloud, CRC + burn-in",0.1,1,0,Bearing1_1,premature,6600.0,4447.5,1.0,112.0,7320.0
"Always-cloud, CRC + burn-in",0.1,1,0,Bearing2_1,premature,28140.0,4447.5,1.0,112.0,29400.0
"Always-cloud, CRC + burn-in",0.1,1,0,Bearing3_1,premature,151500.0,4447.5,1.0,112.0,152220.0
"Always-cloud, CRC + burn-in",0.15,1,0,Bearing1_1,premature,6600.0,4447.5,1.0,112.0,7320.0
"Always-cloud, CRC + burn-in",0.15,1,0,Bearing2_1,premature,28140.0,4447.5,1.0,112.0,29400.0
"Always-cloud, CRC + burn-in",0.15,1,0,Bearing3_1,premature,151500.0,4447.5,1.0,112.0,152220.0
"Always-cloud, CRC + burn-in",0.2,1,0,Bearing1_1,premature,6600.0,4290.0,1.0,112.0,7320.0
"Always-cloud, CRC + burn-in",0.2,1,0,Bearing2_1,premature,27960.0,4290.0,1.0,112.0,29400.0
"Always-cloud, CRC + burn-in",0.2,1,0,Bearing3_1,premature,151500.0,4290.0,1.0,112.0,152220.0
"Always-cloud, CRC + burn-in",0.25,1,0,Bearing1_1,timely,2520.0,3750.0,1.0,112.0,7320.0
"Always-cloud, CRC + burn-in",0.25,1,0,Bearing2_1,timely,2040.0,3750.0,1.0,112.0,29400.0
"Always-cloud, CRC + burn-in",0.25,1,0,Bearing3_1,premature,144960.0,3750.0,1.0,112.0,152220.0
"Always-cloud, CRC + burn-in",0.3,1,0,Bearing1_1,timely,2520.0,3750.0,1.0,112.0,7320.0
"Always-cloud, CRC + burn-in",0.3,1,0,Bearing2_1,timely,2040.0,3750.0,1.0,112.0,29400.0
"Always-cloud, CRC + burn-in",0.3,1,0,Bearing3_1,premature,144960.0,3750.0,1.0,112.0,152220.0
"Always-cloud, CRC + burn-in",0.4,1,0,Bearing1_1,late,,1050.0,1.0,112.0,7320.0
"Always-cloud, CRC + burn-in",0.4,1,0,Bearing2_1,late,,1050.0,1.0,112.0,29400.0
"Always-cloud, CRC + burn-in",0.4,1,0,Bearing3_1,late,240.0,1050.0,1.0,112.0,152220.0
"Always-cloud, CRC",0.1,1,0,Bearing1_1,premature,6840.0,4290.0,1.0,112.0,7320.0
"Always-cloud, CRC",0.1,1,0,Bearing2_1,premature,29280.0,4290.0,1.0,112.0,29400.0
"Always-cloud, CRC",0.1,1,0,Bearing3_1,premature,152100.0,4290.0,1.0,112.0,152220.0
"Always-cloud, CRC",0.15,1,0,Bearing1_1,premature,6840.0,4290.0,1.0,112.0,7320.0
"Always-cloud, CRC",0.15,1,0,Bearing2_1,premature,29280.0,4290.0,1.0,112.0,29400.0
"Always-cloud, CRC",0.15,1,0,Bearing3_1,premature,152100.0,4290.0,1.0,112.0,152220.0
"Always-cloud, CRC",0.2,1,0,Bearing1_1,timely,2520.0,3750.0,1.0,112.0,7320.0
"Always-cloud, CRC",0.2,1,0,Bearing2_1,premature,29280.0,3750.0,1.0,112.0,29400.0
"Always-cloud, CRC",0.2,1,0,Bearing3_1,premature,152100.0,3750.0,1.0,112.0,152220.0
"Always-cloud, CRC",0.25,1,0,Bearing1_1,timely,2460.0,3435.0,1.0,112.0,7320.0
"Always-cloud, CRC",0.25,1,0,Bearing2_1,premature,29280.0,3435.0,1.0,112.0,29400.0
"Always-cloud, CRC",0.25,1,0,Bearing3_1,premature,152100.0,3435.0,1.0,112.0,152220.0
"Always-cloud, CRC",0.3,1,0,Bearing1_1,timely,2460.0,3435.0,1.0,112.0,7320.0
"Always-cloud, CRC",0.3,1,0,Bearing2_1,premature,29280.0,3435.0,1.0,112.0,29400.0
"Always-cloud, CRC",0.3,1,0,Bearing3_1,premature,152100.0,3435.0,1.0,112.0,152220.0
"Always-cloud, CRC",0.4,1,0,Bearing1_1,late,,892.5,1.0,112.0,7320.0
"Always-cloud, CRC",0.4,1,0,Bearing2_1,late,,892.5,1.0,112.0,29400.0
"Always-cloud, CRC",0.4,1,0,Bearing3_1,late,,892.5,1.0,112.0,152220.0
"Always-edge, CRC",0.1,1,0,Bearing1_1,premature,6900.0,1297.5,0.0,0.0,7320.0
"Always-edge, CRC",0.1,1,0,Bearing2_1,premature,29280.0,1297.5,0.0,0.0,29400.0
"Always-edge, CRC",0.1,1,0,Bearing3_1,premature,152100.0,1297.5,0.0,0.0,152220.0
"Always-edge, CRC",0.15,1,0,Bearing1_1,premature,6900.0,1297.5,0.0,0.0,7320.0
"Always-edge, CRC",0.15,1,0,Bearing2_1,premature,29280.0,1297.5,0.0,0.0,29400.0
"Always-edge, CRC",0.15,1,0,Bearing3_1,premature,152100.0,1297.5,0.0,0.0,152220.0
"Always-edge, CRC",0.2,1,0,Bearing1_1,premature,6840.0,1185.0,0.0,0.0,7320.0
