fold,arch,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
2,TCN,25,32,0.2,0.14580968190325128,2665.6650390625,0.15611814345991562
0,LSTM,25,64,0.0,0.2248895287846889,3291.6533203125,0.07317073170731707
0,LSTM,25,64,0.2,0.22615382811433174,3302.677001953125,0.09146341463414634
0,GRU,25,64,0.0,0.1862335946399537,2984.91259765625,0.0975609756097561
0,GRU,25,64,0.2,0.1807092607486993,2877.010986328125,0.09146341463414634
0,CNN-LSTM,25,64,0.0,0.21689203092298373,3281.65478515625,0.06707317073170732
0,CNN-LSTM,25,64,0.2,0.20235339586236856,3169.15869140625,0.07317073170731707
2,LSTM,25,64,0.0,0.1773055539195296,2743.8828125,0.08438818565400844
2,LSTM,25,64,0.2,0.17097546491358018,2679.167236328125,0.13924050632911392
2,GRU,25,64,0.0,0.1893399045280012,2870.39697265625,0.0379746835443038
2,GRU,25,64,0.2,0.18073727318024163,2762.827392578125,0.03375527426160337
2,CNN-LSTM,25,64,0.0,0.20404786440935485,3035.568359375,0.02531645569620253
2,CNN-LSTM,25,64,0.2,0.18302779465326946,2783.135009765625,0.02109704641350211
0,TCN,8,64,0.0,0.161939273442225,3083.358154296875,0.36585365853658536
0,TCN,8,64,0.2,0.15691315758527574,3053.919189453125,0.35365853658536583
2,TCN,8,64,0.0,0.07489832536213929,1814.9725341796875,0.6118143459915611
2,TCN,8,64,0.2,0.0652732401148386,1707.9979248046875,0.6624472573839663
0,LSTM,8,128,0.0,0.1869637171374407,3127.471435546875,0.36585365853658536
0,LSTM,8,128,0.2,0.19073717255728337,3187.173828125,0.2621951219512195
0,GRU,8,128,0.0,0.13637230240179576,2683.79052734375,0.4024390243902439
0,GRU,8,128,0.2,0.1379771143010613,2772.373291015625,0.4329268292682927
0,CNN-LSTM,8,128,0.0,0.161996719851045,3129.65380859375,0.4268292682926829
0,CNN-LSTM,8,128,0.2,0.1580643848463045,3013.59228515625,0.4329268292682927
2,LSTM,8,128,0.0,0.1710230592266249,2781.366455078125,0.15611814345991562
2,LSTM,8,128,0.2,0.17123244461798634,2820.83251953125,0.189873417721519
2,GRU,8,128,0.0,0.16632093359714925,3161.507568359375,0.3080168776371308
2,GRU,8,128,0.2,0.15204377843305447,2913.6826171875,0.3628691983122363
2,CNN-LSTM,8,128,0.0,0.14630099395984253,2540.721923828125,0.16877637130801687
