family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Anomaly trigger,0.7000000000000001,0,0.0,0.1918997107039537,0.5695488721804511,0.9656611039794608,0.07987464341677046,0.9694644220338302,0.6999879464823818,904.7030029296875
Random gate,0.7000000000000001,0,0.003857280617164899,0.23143683702989393,0.5244360902255639,0.9570878415551073,0.09116477158584113,0.9619912411105308,0.6975772429587368,868.9578247070312
Width gate,0.74,0,0.019286403085824494,0.24783027965284474,0.5607005318173482,0.9654318723638364,0.07895054039937321,0.9682992486640685,0.7400056249748885,914.8805541992188
Linear score gate,0.74,0,0.019286403085824494,0.25168756027000966,0.5700531817348249,0.9655235650100862,0.07790590220579373,0.9682590702720077,0.7400056249748885,916.8001098632812
Anomaly trigger,0.74,0,0.0,0.1909353905496625,0.5890794058316523,0.9651109481019622,0.07814697255815822,0.9689822813291012,0.7400056249748885,908.2247314453125
Random gate,0.74,0,0.0048216007714561235,0.23625843780135006,0.5332844305886668,0.9569961489088575,0.08983888464783639,0.9618305275422877,0.7356261802402668,877.1321411132812
Width gate,0.78,0,0.019286403085824494,0.23240115718418514,0.575187969924812,0.9654318723638364,0.07702197758045723,0.9682992486640685,0.7799831250753345,916.190185546875
Linear score gate,0.78,0,0.019286403085824494,0.22757955641272903,0.582385842655419,0.9654318723638364,0.07734340471694323,0.9681787134878862,0.7799831250753345,917.3311157226562
Anomaly trigger,0.78,0,0.0,0.18225650916104147,0.6056757748028608,0.9641481753163397,0.07786572381373297,0.9681385350958255,0.7799831250753345,912.1445922851562
Random gate,0.78,0,0.003857280617164899,0.21407907425265188,0.5484595635430038,0.95598752980011,0.08939692233516815,0.961147494877255,0.7799831250753345,884.73046875
Width gate,0.8200000000000001,0,0.019286403085824494,0.22757955641272903,0.5820190720704199,0.9654318723638364,0.07718269114870023,0.9682992486640685,0.8200008035678412,919.0469360351562
Linear score gate,0.8200000000000001,0,0.019286403085824494,0.22757955641272903,0.5926095727122684,0.9654318723638364,0.07706215597251798,0.9681787134878862,0.8200008035678412,920.3514404296875
Anomaly trigger,0.8200000000000001,0,0.0,0.17743490838958534,0.6121401063634696,0.9627269392994682,0.07750411828518623,0.9668930049419422,0.8200008035678412,914.725830078125
Random gate,0.8200000000000001,0,0.0057859209257473485,0.20443587270973965,0.5617091509260957,0.9559416834769852,0.08999959821607939,0.9609466029169512,0.82261239905179,890.265869140625
Width gate,0.86,0,0.019286403085824494,0.22757955641272903,0.5865120117366587,0.9654318723638364,0.07718269114870023,0.9682992486640685,0.8599783036682872,920.741455078125
Linear score gate,0.86,0,0.019286403085824494,0.22757955641272903,0.6050339262791125,0.9654318723638364,0.07674072883603199,0.9681787134878862,0.8599783036682872,923.2362670898438
Anomaly trigger,0.86,0,0.0,0.17743490838958534,0.6147075004584632,0.9621767834219696,0.07750411828518623,0.966451042629274,0.8599783036682872,918.2460327148438
Random gate,0.86,0,0.0019286403085824494,0.19768563162970107,0.5728956537685678,0.9549330643682377,0.08819157057334566,0.960183213467797,0.8610631202539274,896.8685302734375
Width gate,0.9,0,0.019286403085824494,0.22757955641272903,0.5932972675591418,0.9654318723638364,0.07710233436457872,0.9682188918799469,0.8999959821607939,922.3496704101562
Linear score gate,0.9,0,0.003857280617164899,0.18129218900675023,0.612415184302219,0.9649734091325876,0.07485234440917675,0.968701032584676,0.8999959821607939,919.58203125
Anomaly trigger,0.9,0,0.0,0.17743490838958534,0.6144782688428388,0.9595176966807262,0.07991482180883121,0.964201052673872,0.8999959821607939,919.7039184570312
Random gate,0.9,0,0.003857280617164899,0.19286403085824494,0.582385842655419,0.9545204474601137,0.0881513921812849,0.9597412511551288,0.8979468841656957,902.907470703125
Width gate,0.9400000000000001,0,0.019286403085824494,0.2256509161041466,0.6097102512378507,0.9624977076838438,0.07919161075173771,0.9656072963959982,0.9399734822612399,924.0805053710938
