family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
P: Always-edge (CQR),0.2,0,0.10028929604628736,0.5525554484088717,0.06766917293233082,0.894003300935265,0.1729679778215276,0.8967817107959339,0.0,784.434326171875
P: Always-cloud (CQR),0.2,0,0.0935390549662488,0.4262295081967213,0.28282596735741794,0.7793874931230516,0.25396761621599906,0.7928803889268351,1.0,1086.3768310546875
P: HERA,0.2,0,0.1446480231436837,0.4262295081967213,0.28282596735741794,0.7734274711168164,0.2560167142110973,0.7823536502069187,0.8967817107959339,1089.262939453125
P: Always-edge (CQR),0.3,0,0.1051108968177435,0.5583413693346191,0.06060883917109848,0.8413717219878966,0.21615974928683354,0.8477238940897586,0.0,784.434326171875
P: Always-cloud (CQR),0.3,0,0.09450337512054002,0.44358727097396333,0.26801760498807997,0.7028699798276178,0.31965928723532483,0.7228494515649484,1.0,1086.3768310546875
P: HERA,0.3,0,0.14561234329797493,0.44358727097396333,0.2672840638180818,0.6830185219145425,0.33251637269476475,0.6987825947205593,0.8477238940897586,1088.4674072265625
P: Always-edge (CQR),0.4,0,0.12150433944069432,0.5641272902603665,0.05790390610673024,0.7978635613423803,0.24994977700992407,0.804773192976817,0.0,784.434326171875
P: Always-cloud (CQR),0.4,0,0.22468659594985535,0.4811957569913211,0.2402805794975243,0.5855492389510362,0.40917674474667526,0.6011491020129375,1.0,1086.3768310546875
P: HERA,0.4,0,0.22468659594985535,0.4811957569913211,0.23766733907940582,0.5753255088941867,0.41813652617622243,0.5921893205833902,0.8035276628229339,1087.09619140625
P: Always-edge (CQR),0.5,0,0.15043394406943106,0.5670202507232401,0.05542820465798643,0.7487163029525032,0.2885612117803045,0.7560368034071276,0.0,784.434326171875
P: Always-cloud (CQR),0.5,0,0.29122468659594986,0.5332690453230472,0.2060333761232349,0.48427471116816434,0.4939129736027964,0.5050825665956848,1.0,1086.3768310546875
P: HERA,0.5,0,0.29411764705882354,0.5351976856316297,0.20277828718136806,0.471987896570695,0.5040379284021054,0.49355136807424965,0.74972879585359,1086.646728515625
P: Always-edge (CQR),0.6,0,0.16489874638379942,0.5728061716489875,0.054282046579864296,0.7059416834769852,0.3225923098557596,0.7146530595845554,0.0,784.4344482421875
P: Always-cloud (CQR),0.6,0,0.38958534233365477,0.5930568948891032,0.16541353383458646,0.31102145607922244,0.6373900116517337,0.33544939531519946,1.0,1086.3768310546875
P: HERA,0.6,0,0.39633558341369335,0.5988428158148505,0.16302952503209242,0.2980927929580048,0.6471935393145566,0.32235123950339506,0.7079030897183495,1086.5771484375
P: Always-edge (CQR),0.7,0,0.18225650916104147,0.5737704918032787,0.05354850540986613,0.6571153493489822,0.3618064205070513,0.6676041624814175,0.0,784.2177124023438
P: Always-cloud (CQR),0.7,0,0.40790742526518803,0.600771456123433,0.14968824500275077,0.2926829268292683,0.6524970870665756,0.3176905460243481,1.0,1086.3768310546875
P: HERA,0.7,0,0.4175506268081003,0.609450337512054,0.1461580781221346,0.27741610122868143,0.6633854313150388,0.30137811884768373,0.6606131222628471,1085.5341796875
P: Always-edge (CQR),0.8,0,0.2034715525554484,0.5747348119575699,0.05235650100861911,0.609205941683477,0.40214552613604404,0.623046325686046,0.0,783.6527099609375
P: Always-cloud (CQR),0.8,0,0.43201542912246865,0.6084860173577628,0.14478268842838804,0.2822758114799193,0.660934549399333,0.30716380730443166,1.0,1086.37548828125
P: HERA,0.8,0,0.4445515911282546,0.6210221793635486,0.13978543920777553,0.2638914359068403,0.6739925268190767,0.28743621680260356,0.6152115392341998,1082.9486083984375
